Sample_Id	Sample_Desc	Processed_Sample	Processed_Sample (With Scientific Name)	Matched_Components	Match_Status(Macro Level)
0_T7	Tia Maria	tia maria	tia {tacca leontopetaloides} maria	['tacca leontopetaloides:NCBITAXON_72648']	Component Match
0_T8	triple sec	triple sec	triple sec	['triple sec:FOODON_00002551']	Full Term Match
0_T11	orange juice	orange juice	orange juice	['orange juice:FOODON_03301103']	Full Term Match
1_T3	maple syrup	maple syrup	maple syrup	['maple syrup:FOODON_03301848']	Full Term Match
1_T6	vanilla	vanilla	vanilla	['vanilla:NCBITAXON_51238']	Full Term Match
1_T8	cinnamon	cinnamon	cinnamon {cinnamomum verum}	['cinnamon:FOODON_03301175']	Full Term Match
1_T10	milk	milk	milk	['milk:UBERON_0001913']	Full Term Match
1_T13	eggs	egg	egg	['egg food product:FOODON_00001274']	Full Term Match
1_T17	butter	butter	butter	['butter:FOODON_03310351']	Full Term Match
1_T21	with icing cinnamon roll	with icing cinnamon roll	with icing cinnamon {cinnamomum verum} roll	['cinnamon roll:FOODON_03302318', 'icing (food product):FOODON_03301932']	Component Match
2_T1	coconuts	coconut	coconut	['cocos nucifera:NCBITAXON_13894']	Full Term Match
2_T6	evaporated milk	evaporated milk	evaporated milk	['evaporated milk:FOODON_03301505']	Full Term Match
2_T7	gin	gin	gin	['gin:FOODON_03309491']	Full Term Match
2_T11	sugar	sugar	sugar	['sugar:FOODON_03420108']	Full Term Match
2_T13	cinnamon	cinnamon	cinnamon {cinnamomum verum}	['cinnamon:FOODON_03301175']	Full Term Match
2_T20	nutmeg	nutmeg	nutmeg {myristica fragrans}	['myristica fragrans:NCBITAXON_51089']	Full Term Match
3_T2	graham cracker	graham cracker	graham cracker	['cracker:FOODON_00002711']	Component Match
3_T6	milk chocolate candy bars	milk chocolate candy bar	milk chocolate candy bar	['milk chocolate bar:FOODON_00003879']	Full Term Match
3_T8	marshmallows	marshmallow	marshmallow {althaea officinalis}	['marshmallow:FOODON_03305639']	Full Term Match
3_T11	blueberries	blueberry	blueberry	['blueberry (whole, raw):FOODON_03302045']	Full Term Match
3_T14	strawberry slices	strawberry slice	strawberry {fragaria x ananassa} slice	['fragaria x ananassa:NCBITAXON_3747']	Component Match
4_T1	sesame seeds	sesame seed	sesame seed	['sesame seed (whole):FOODON_03310306']	Full Term Match
4_T6	swiss cheese	swiss cheese	swiss cheese	['swiss cheese:FOODON_03303659']	Full Term Match
4_T10	cheddar cheese	cheddar cheese	cheddar cheese	['cheddar cheese:FOODON_03302458']	Full Term Match
4_T15	deli ham	deli ham	deli ham	['ham food product:FOODON_00002502']	Component Match
4_T20	crescent rolls	crescent roll	crescent roll	['roll or bun:FOODON_00002743']	Component Match
4_T22	mustard	mustard	mustard	['mustard food product:FOODON_00002053']	Full Term Match
5_T7	onion	onion	onion {allium cepa}	['allium species:FOODON_03414302']	Full Term Match
5_T11	curry powder	curry powder	curry powder	['curry powder:FOODON_03301842']	Full Term Match
5_T18	chicken	chicken	chicken {gallus gallus}	['chicken:FOODON_03411457']	Full Term Match
5_T24	TACO BELL® Thick & Chunky Salsa	taco bell® thick and chunky salsa	taco bell® thick and chunky salsa	['salsa:FOODON_03310086', 'taco:FOODON_03307744']	Component Match
5_T15	Sour Cream	sour cream	sour cream	['sour cream:FOODON_03302515']	Full Term Match
5_T27	Sour Cream	sour cream	sour cream	['sour cream:FOODON_03302515']	Full Term Match
6_T6	butter	butter	butter	['butter:FOODON_03310351']	Full Term Match
6_T9	garlic salt	garlic salt	garlic {allium sativum} salt	['garlic salt:FOODON_03307739']	Full Term Match
6_T12	seasoning salt	seasoning salt	seasoning salt	['seasoning salt:FOODON_03306222']	Full Term Match
6_T15	pepper	pepper	pepper	['sweet yellow bell pepper (whole):FOODON_00003548']	Full Term Match
6_T16	sour cream	sour cream	sour cream	['sour cream:FOODON_03302515']	Full Term Match
6_T18	chives	chive	chive {allium schoenoprasum}	['chive leaf (whole, raw):FOODON_03311167']	Full Term Match
6_T19	baking potatoes	baking potato	baking potato {solanum tuberosum}	['solanum tuberosum:NCBITAXON_4113']	Component Match
7_T4	sugar	sugar	sugar	['sugar:FOODON_03420108']	Full Term Match
7_T6	carrots	carrot	carrot {daucus carota}	['daucus carota:NCBITAXON_4039']	Full Term Match
7_T8	carrots	carrot	carrot {daucus carota}	['daucus carota:NCBITAXON_4039']	Full Term Match
7_T9	canning salt	canning salt	canning salt	['salt:CHEBI_24866']	Component Match
7_T10	sugar	sugar	sugar	['sugar:FOODON_03420108']	Full Term Match
7_T12	water	water	water	['water:CHEBI_15377']	Full Term Match
7_T13	orange juice	orange juice	orange juice	['orange juice:FOODON_03301103']	Full Term Match
8_T1	egg	egg	egg	['egg food product:FOODON_00001274']	Full Term Match
8_T8	cream	cream	cream	['cream food product:FOODON_00001216']	Full Term Match
8_T11	vanilla extract	vanilla extract	vanilla extract	['vanilla:NCBITAXON_51238']	Component Match
8_T14	chocolate chips	chocolate chips	chocolate chips	['38900 - fries (finger chips) (efsa foodex2):FOODON_03543890', 'chocolate:FOODON_03307240']	Component Match
8_T2	heavy cream	heavy cream	heavy cream	['heavy cream:FOODON_03310795']	Full Term Match
9_T6	lime	lime	lime	['lime (whole, raw):FOODON_03305086']	Full Term Match
9_T7	kosher salt	kosher salt	kosher salt	['salt:CHEBI_24866']	Component Match
